Report ID: 261726,,,,,,,,,
Project ID: AWQC-139188,,,,,,,,,
Disclaimer: The data contained in this spreadsheet has been prepared by SA Water at your request and is subject to the terms and conditions of contract between SA Water and your company.  SA Water accepts no liability for and gives no undertakings or warranties concerning the accuracy completeness or fitness for purpose of this data for use by your company or any third party,,,,,,,,,
Sample ID,Sampled Date,Received Date,Sampling Point,S Point Description,Sample Description,Test Name,Result Name,Result Value,Units
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,TKN as N,"TKN as Nitrogen",4.24,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Total,"Phosphorus - Total",0.260,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Chlorophyll a",36.7,µg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Phaeophytin a",6.65,µg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & b,"Chlorophyll a",39.4,µg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & b,"Chlorophyll b",5.36,µg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Chlorophyll a & b,"Chlorophyll comment",Chlorophyll a & b results are the sum of chlorophyll & their degradation by products (Phaeophytins),
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Alkalinity as Calcium Carbonate",214,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Bicarbonate",261,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Carbonate",0,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Hydroxide",0,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Suspended Solids,"Suspended Solids",37,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Silica - Reactive,"Silica - Reactive",0.65,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,pH,"pH",8.2,pH units
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,pH,"Temperature at which pH is measured",22.8,°C
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Volatile Suspended Solids,"Fixed Solids",7,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Volatile Suspended Solids,"Volatile Suspended Solids",30,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Turbidity,"Turbidity",16,NTU
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Nitrate + Nitrite as N,"Nitrate + Nitrite as N",0.004,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Phosphorus - Filterable Reactive as P,"Phosphorus - Filterable Reactive as P",0.004,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Ammonia as N,"Ammonia as N",<0.005,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Nitrogen - Total,"Nitrogen - Total",4.24,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Dissolved Organic Carbon,"Dissolved Organic Carbon",19.3,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Total Organic Carbon,"Total Organic Carbon",25.6,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Conductivity & Total Dissolved Solids,"Conductivity",91400,µS/cm
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Conductivity & Total Dissolved Solids,"Total Dissolved Solids (by EC)",75500,mg/L
2019-005-9279,25/09/2019 10:00:00 AM,26/09/2019 10:29:06 AM,31525,EPA - Villa de Yumpa,,Chloride,"Chloride",35100,mg/L
2019-005-9280,25/09/2019 03:00:00 PM,26/09/2019 10:25:41 AM,353180,EPA -  Tauwitchere,,TKN as N,"TKN as Nitrogen",1.48,mg/L
2019-005-9280,25/09/2019 03:00:00 PM,26/09/2019 10:25:41 AM,353180,EPA -  Tauwitchere,,Phosphorus - Total,"Phosphorus - Total",0.183,mg/L
