"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Amphora",2.00,"0.0009"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Centrales",290.00,"0.0579"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Cocconeis",48.00,"0.0217"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Fragilariaceae",290.00,"0.1447"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Naviculales",2.00,"0.0027"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Pennales",145.00,"0.0434"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",48.00,"0.0121"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Ankistrodesmus",241.00,"0.0318"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Chlamydomonads",97.00,"0.0241"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",1496.00,"0.0897"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Colonial green (cells)",46.00,"0.0046"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Lagerheimia",434.00,"0.2171"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Oocystis",48.00,"0.0144"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Scenedesmus",97.00,"0.0241"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CHLOROPHYCEAE","Selenastrum",820.00,"0.2051"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",48.00,"0.0154"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",11583.00,"0.0608"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"CYANOPHYCEAE","Synechococcales  large (iauv 20-86)",4.00,"0.0002"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales",48.00,"0.0965"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",48.00,"0.0241"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"DINOPHYCEAE","Peridiniales",2.00,"0.0096"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",30/11/2020 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",97.00,"0.0077"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",,"TOTAL_ALGAE",,15934.00,"1.1094"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","20-56146"," 6796584","Tilley Swamp Drain",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
