CUSTOMER,PROJECT,SAMPLE_NUMBER,SITE,SAMPDATE,CLASS_NAME,TAXA,TOTAL_CELL_COUNTS,TOTAL_BIOVOLUME
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,BACILLARIOPHYCEAE,Chaetoceros,1563,0.3125
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,BACILLARIOPHYCEAE,Naviculales,49,0.0683
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,BACILLARIOPHYCEAE,Nitzschia,98,0.039
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,BACILLARIOPHYCEAE,Pennales,49,0.0146
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,BACILLARIOPHYCEAE,Pennales (small <20um),635,0.1593
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,CHLOROPHYCEAE,Ankistrodesmoideae,586,0.0773
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,CHLOROPHYCEAE,Chlamydomonads,49,0.0122
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,CHLOROPHYCEAE,Chlorococcoids (<10um),3760,0.2255
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,CHRYSOPHYCEAE,Other Chrysophyceae,293,0.1025
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,CYANOPHYCEAE,Planktolyngbya,1514,0.0057
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,CYANOPHYCEAE,Synechococcales   small (iauv <20),111328,0.5844
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,DINOPHYCEAE,Gymnodiniales (small),146,0.0732
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,OTHER PHYTOPLANKTON,Other small flagellates,781,0.0625
ALS MELB,20-54272,6781616,Bonneys,18/11/2020 0:00,OTHER PHYTOPLANKTON,Prasinophytes,98,0.0097
ALS MELB,20-54272,6781616,Bonneys,,TOTAL_ALGAE,,120949,1.7473
ALS MELB,20-54272,6781616,Bonneys,,TOTAL_POTENTIALLY_TOXIC_BGA,,0,0
ALS MELB,20-54272,6781616,Bonneys,,TOTAL_TOXIC_BGA,,0,0
