"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"BACILLARIOPHYCEAE","Centrales",147.00,"0.0293"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"BACILLARIOPHYCEAE","Chaetoceros",5862.00,"1.1724"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"BACILLARIOPHYCEAE","Naviculales",195.00,"0.2735"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",244.00,"0.0977"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",98.00,"0.0245"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"BACILLARIOPHYCEAE","Pleurosigma",2.00,"0.0039"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",1075.00,"0.1418"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"CHLOROPHYCEAE","Chlamydomonads",489.00,"0.1221"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",60576.00,"3.6345"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"CHLOROPHYCEAE","Selenastrum",244.00,"0.0610"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",2052.00,"0.6565"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"CYANOPHYCEAE","Planktolyngbya",8207.00,"0.0311"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",50806.00,"0.2667"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales",244.00,"0.4885"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",489.00,"0.2442"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"DINOPHYCEAE","Peridiniales",49.00,"0.2442"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"DINOPHYCEAE","Polykrikos",8.00,"0.7985"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"DINOPHYCEAE","Protoperidinium",2.00,"0.0605"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"EUGLENOPHYCEAE","Eutreptia",98.00,"0.0977"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",6839.00,"0.5471"
"ALS MELB","20-42534"," 6695255","Bonneys",8/9/2020 0:00:00,"OTHER PHYTOPLANKTON","Prasinophytes",3420.00,"0.3419"
"ALS MELB","20-42534"," 6695255","Bonneys",,"TOTAL_ALGAE",,141146.00,"9.3386"
"ALS MELB","20-42534"," 6695255","Bonneys",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","20-42534"," 6695255","Bonneys",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
