"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"BACILLARIOPHYCEAE","Amphora",49.00,"0.0242"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"BACILLARIOPHYCEAE","Cocconeis",49.00,"0.0218"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"BACILLARIOPHYCEAE","Fragilariaceae",1749.00,"0.8745"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",97.00,"0.0388"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales",97.00,"0.0291"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",389.00,"0.0975"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",2138.00,"0.1282"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Closterium",2.00,"0.0080"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Crucigenia",6413.00,"0.1924"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Didymocystis",97.00,"0.0039"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Eremosphaera",146.00,"0.1020"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Lagerheimia",243.00,"0.1214"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Monoraphidium",1652.00,"1.4867"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Oocystis",3401.00,"1.0203"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Pediastrum",437.00,"0.0262"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Planctonema",5539.00,"4.4310"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CHLOROPHYCEAE","Scenedesmus",1458.00,"0.3644"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",437.00,"0.1399"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CYANOPHYCEAE","Aphanizomenonaceae family - straight",292.00,"0.0195"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CYANOPHYCEAE","Limnolyngbya (Planktolyngbya circumcreta)
Limnolyngbya (Planktolyngbya circumcreta)",147702.00,"0.7237"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CYANOPHYCEAE","Planktolyngbya",162764.00,"0.6185"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",10/8/2021 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",262365.00,"1.3774"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",,"TOTAL_ALGAE",,597516.00,"11.850"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",,"TOTAL_POTENTIALLY_TOXIC_BGA",,292.00,"0.0195"
"ALS MELB","21-39298"," 7116647","DS Tauwitchere",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
