"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"BACILLARIOPHYCEAE","Centrales",99.00,"0.0197"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"BACILLARIOPHYCEAE","Naviculales",246.00,"0.3450"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",148.00,"0.0591"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales",99.00,"0.0295"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",13800.00,"3.4637"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"CHLOROPHYCEAE","Chlorococcoids",29571.00,"14.785"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"CHLOROPHYCEAE","Monoraphidium",2.00,"0.0017"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",415968.00,"2.1838"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"DINOPHYCEAE","Gymnodiniales",49.00,"0.0985"
"ALS MELB","21-59669"," 7281144","Bonneys",13/12/2021 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",986.00,"0.0788"
"ALS MELB","21-59669"," 7281144","Bonneys",,"TOTAL_ALGAE",,460969.00,"21.065"
"ALS MELB","21-59669"," 7281144","Bonneys",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","21-59669"," 7281144","Bonneys",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
