"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"BACILLARIOPHYCEAE","Amphora",4.00,"0.0019"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"BACILLARIOPHYCEAE","Entomoneis",2.00,"0.0019"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",2867.00,"1.1466"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales",49.00,"0.0145"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",680.00,"0.1707"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"BACILLARIOPHYCEAE","Pleurosigma",10.00,"0.0194"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",7774.00,"1.0261"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",115635.00,"6.9381"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",427558.00,"2.2446"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",3/2/2021 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",1943.00,"0.1554"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",,"TOTAL_ALGAE",,556522.00,"11.719"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","21-07778"," 6873992","Villa de Yumpa",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
