"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Centrales",49.00,"0.0097"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Gyrosigma",2.00,"0.0027"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",537.00,"0.2148"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales",49.00,"0.0146"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",49.00,"0.0122"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",7079.00,"0.9343"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",1562.00,"0.0937"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",929506.00,"4.8799"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"DINOPHYCEAE","Gymnodiniales",146.00,"0.2929"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",98.00,"0.0488"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",781.00,"0.0624"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"OTHER PHYTOPLANKTON","Prasinophytes",49.00,"0.0048"
"ALS MELB","21-35420"," 7086209","North Jacks Point",13/7/2021 0:00:00,"OTHER PHYTOPLANKTON","Raphidophytes",2.00,"0.0136"
"ALS MELB","21-35420"," 7086209","North Jacks Point",,"TOTAL_ALGAE",,939909.00,"6.5849"
"ALS MELB","21-35420"," 7086209","North Jacks Point",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","21-35420"," 7086209","North Jacks Point",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
