"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",12.00,"0.0047"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales",346.00,"0.1039"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"CHLOROPHYCEAE","Chlamydomonads",148.00,"0.0371"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",643.00,"0.0385"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",841.00,"0.0044"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"DINOPHYCEAE","Dinoflagellates",99.00,"1.9792"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"DINOPHYCEAE","Gymnodiniales",99.00,"0.1979"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",148.00,"0.0742"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",148.00,"0.0118"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"OTHER PHYTOPLANKTON","Prasinophytes",99.00,"0.0099"
"ALS MELB","21-32332"," 7064971","Noonameena",28/6/2021 0:00:00,"OTHER PHYTOPLANKTON","Raphidophytes",2.00,"0.0138"
"ALS MELB","21-32332"," 7064971","Noonameena",,"TOTAL_ALGAE",,2585.00,"2.4757"
"ALS MELB","21-32332"," 7064971","Noonameena",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","21-32332"," 7064971","Noonameena",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
