"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"BACILLARIOPHYCEAE","Entomoneis",2.00,"0.0019"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",98.00,"0.0390"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"BACILLARIOPHYCEAE","Pennales",195.00,"0.0585"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"CHLOROPHYCEAE","Chlamydomonads",49.00,"0.0122"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",13425.00,"0.8055"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"CHLOROPHYCEAE","Selenastrum",49.00,"0.0122"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",343683.00,"1.8043"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"DINOPHYCEAE","Dinoflagellates",293.00,"5.8582"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",12/5/2021 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",1904.00,"0.9519"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",,"TOTAL_ALGAE",,359698.00,"9.5440"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","21-25384"," 7007875","Morella Basin @ Gauge",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
