"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",489.00,"0.1954"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales",195.00,"0.0586"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",1172.00,"0.2942"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",15144.00,"1.9990"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",163166.00,"9.7899"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"CHLOROPHYCEAE","Oocystis",684.00,"0.2051"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",244.00,"0.0781"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"CYANOPHYCEAE","Pseudanabaena",29.00,"0.0003"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",334148.00,"1.7542"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales",98.00,"0.1954"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",2.00,"0.0009"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",21/4/2022 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",782.00,"0.0625"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",,"TOTAL_ALGAE",,516153.00,"14.634"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","22-19601"," 7428778","Villa de Yumpa",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
