"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"BACILLARIOPHYCEAE","Naviculales",48.00,"0.0672"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",24791.00,"9.9164"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales",240.00,"0.0720"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",48.00,"0.0120"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",65821.00,"8.6883"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",64860.00,"3.8916"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"CHRYSOPHYCEAE","Other Chrysophyceae",48.00,"0.0168"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",48.00,"0.0153"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",691842.00,"3.6321"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales",48.00,"0.0960"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",48.00,"0.0240"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",913.00,"0.0730"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",23/2/2022 0:00:00,"OTHER PHYTOPLANKTON","Raphidophytes",96.00,"0.6726"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",,"TOTAL_ALGAE",,848851.00,"27.177"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","22-11365"," 7366811","Salt Creek Outlet",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
