"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"BACILLARIOPHYCEAE","Centrales",50.00,"0.0099"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"BACILLARIOPHYCEAE","Entomoneis",2.00,"0.0019"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"BACILLARIOPHYCEAE","Naviculales",100.00,"0.1393"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",2090.00,"0.8361"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales",100.00,"0.0298"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",946.00,"0.2373"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",896.00,"0.0537"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"CYANOPHYCEAE","Anabaena",14.00,"0.0010"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",48029.00,"0.2521"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"EUGLENOPHYCEAE","Trachelomonas",4.00,"0.0119"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",100.00,"0.0079"
"ALS MELB","22-06265"," 7328739","Noonameena",21/1/2022 0:00:00,"OTHER PHYTOPLANKTON","Prasinophytes",149.00,"0.0149"
"ALS MELB","22-06265"," 7328739","Noonameena",,"TOTAL_ALGAE",,52480.00,"1.5964"
"ALS MELB","22-06265"," 7328739","Noonameena",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS MELB","22-06265"," 7328739","Noonameena",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
