"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"BACILLARIOPHYCEAE","Nitzschia",1801.00,"0.7204"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales",146.00,"0.0438"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",49.00,"0.0122"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"CHLOROPHYCEAE","Ankistrodesmoideae",146.00,"0.0192"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",53057.00,"3.1834"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"CHRYSOPHYCEAE","Other Chrysophyceae",195.00,"0.0681"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",292.00,"0.0934"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"CYANOPHYCEAE","Oscillatoriales       (iauv 1-100)",88.00,"0.0053"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",274533.00,"1.4413"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales",341.00,"0.6814"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",49.00,"0.0243"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",2/6/2022 0:00:00,"DINOPHYCEAE","Peridiniales",243.00,"1.2169"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",,"TOTAL_ALGAE",,330940.00,"7.5100"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",,"TOTAL_POTENTIALLY_TOXIC_BGA",,88.00,"0.0053"
"ALS_MELB","22-48115"," 239337","3.2km Sth of Salt Ck",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
