CUSTOMER,PROJECT,SAMPLE_NUMBER,SITE,SAMPDATE,CLASS_NAME,TAXA,TOTAL_CELL_COUNTS,TOTAL_BIOVOLUME
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,BACILLARIOPHYCEAE,Chaetoceros,4629,0.9257
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,BACILLARIOPHYCEAE,Entomoneis,2,0.0019
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,BACILLARIOPHYCEAE,Pennales,796,0.2389
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,BACILLARIOPHYCEAE,Pennales (small <20um),50,0.0124
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,CHLOROPHYCEAE,Chlorococcoids (<10um),348,0.0209
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,CRYPTOPHYCEAE,Cryptomonads,50,0.0159
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,CYANOPHYCEAE,Synechococcales   small (iauv <20),647,0.0034
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,DINOPHYCEAE,Gymnodiniales,14,0.0278
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,DINOPHYCEAE,Peridiniales,2,0.0099
ALS MELB,22-15545,7394991,Morella Basin @ O/L,17/03/2022 0:00,OTHER PHYTOPLANKTON,Other small flagellates,846,0.0676
ALS MELB,22-15545,7394991,Morella Basin @ O/L,,TOTAL_ALGAE,,7384,1.3248
ALS MELB,22-15545,7394991,Morella Basin @ O/L,,TOTAL_POTENTIALLY_TOXIC_BGA,,0,0
ALS MELB,22-15545,7394991,Morella Basin @ O/L,,TOTAL_TOXIC_BGA,,0,0
