"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"BACILLARIOPHYCEAE","Centrales",49.00,"0.0098"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales",98.00,"0.0294"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",147.00,"0.0369"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",64253.00,"3.8552"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"CHLOROPHYCEAE","Monoraphidium  (small)",785.00,"0.0125"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"CYANOPHYCEAE","Planktolyngbya",1962.00,"0.0074"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",408083.00,"2.1424"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",49.00,"0.0245"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",1079.00,"0.0863"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",29/9/2022 0:00:00,"OTHER PHYTOPLANKTON","Prasinophytes",98.00,"0.0098"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",,"TOTAL_ALGAE",,476603.00,"6.2144"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS_MELB","22-70933"," 7791211","1.8km W of Salt Ck",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
