Report ID: 285473,,,,,,,,,
Project ID: AWQC-148061,,,,,,,,,
Disclaimer: The data contained in this spreadsheet has been prepared by SA Water at your request and is subject to the terms and conditions of contract between SA Water and your company.  SA Water accepts no liability for and gives no undertakings or warranties concerning the accuracy completeness or fitness for purpose of this data for use by your company or any third party,,,,,,,,,
Sample ID,Sampled Date,Received Date,Sampling Point,S Point Description,Sample Description,Test Name,Result Name,Result Value,Units
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Phosphorus - Total,"Phosphorus - Total",0.225,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,TKN as N,"TKN as Nitrogen",3.60,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Chlorophyll a",29.2,µg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Chlorophyll a & Phaeophytin a,"Phaeophytin a",7.52,µg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Alkalinity as Calcium Carbonate",199,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Bicarbonate",243,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Carbonate",0,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Alkalinity Carbonate  Bicarbonate and Hydroxide,"Hydroxide",0,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Chloride,"Chloride",43100,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,pH,"pH",8.1,pH units
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,pH,"Temperature at which pH is measured",22.8,°C
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Silica - Reactive,"Silica - Reactive",0.75,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Turbidity,"Turbidity",8.8,NTU
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Volatile Suspended Solids,"Fixed Solids",1,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Volatile Suspended Solids,"Volatile Suspended Solids",13,mg/L
2020-004-0794,12/05/2020 12:40:00 PM,12/05/2020 05:38:36 PM,31525,EPA - Villa de Yumpa,,Suspended Solids,"Suspended Solids",14,mg/L
