"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"BACILLARIOPHYCEAE","Aulacoseira",49.00,"0.1402"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"BACILLARIOPHYCEAE","Centrales - (5-10um)",196.00,"0.0156"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"BACILLARIOPHYCEAE","Chaetoceros",10.00,"0.0019"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"BACILLARIOPHYCEAE","Cocconeis",2.00,"0.0008"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"BACILLARIOPHYCEAE","Naviculales",49.00,"0.0686"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales (small <20um)",343.00,"0.0861"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CHLOROPHYCEAE","Chlamydomonads",98.00,"0.0245"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",834.00,"0.0500"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CHLOROPHYCEAE","Crucigenia",981.00,"0.0294"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CHLOROPHYCEAE","Monoraphidium  (small)",343.00,"0.0054"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CHLOROPHYCEAE","Oocystis    (small)",196.00,"0.0196"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CHLOROPHYCEAE","Planctonema",175.00,"0.1396"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CHLOROPHYCEAE","Tetrastrum",196.00,"0.0078"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CRYPTOPHYCEAE","Cryptomonads",539.00,"0.1726"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CRYPTOPHYCEAE","Cryptomonas",98.00,"0.0313"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CYANOPHYCEAE","Leptolyngbya",16.00,"0.0000"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CYANOPHYCEAE","Planktolyngbya",2746.00,"0.0104"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",1667.00,"0.0087"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"DINOPHYCEAE","Gymnodiniales (small)",49.00,"0.0245"
"ALS_MELB","22-60564"," 7609393","Long Point",8/8/2022 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",147.00,"0.0117"
"ALS_MELB","22-60564"," 7609393","Long Point",,"TOTAL_ALGAE",,8734.00,"0.8497"
"ALS_MELB","22-60564"," 7609393","Long Point",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS_MELB","22-60564"," 7609393","Long Point",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
