"CUSTOMER","PROJECT","SAMPLE_NUMBER","SITE","SAMPDATE","CLASS_NAME","TAXA","TOTAL_CELL_COUNTS","TOTAL_BIOVOLUME"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"BACILLARIOPHYCEAE","Pennales",97.00,"0.0291"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"CHLOROPHYCEAE","Chlorococcoids (<10um)",1407.00,"0.0844"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"CHLOROPHYCEAE","Dictyosphaerium",971.00,"0.0194"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"CHLOROPHYCEAE","Lagerheimia",49.00,"0.0242"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"CHLOROPHYCEAE","Monoraphidium  (small)",3494.00,"0.0559"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"CHLOROPHYCEAE","Oocystis",679.00,"0.2038"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"CYANOPHYCEAE","Synechococcales   small (iauv <20)",1650.00,"0.0086"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"DINOPHYCEAE","Peridiniales",388.00,"1.9411"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"EUGLENOPHYCEAE","Euglenophytes",49.00,"0.2145"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",29/9/2022 0:00:00,"OTHER PHYTOPLANKTON","Other small flagellates",243.00,"0.0194"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",,"TOTAL_ALGAE",,9027.00,"2.6007"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",,"TOTAL_POTENTIALLY_TOXIC_BGA",,0.00,"0.0000"
"ALS_MELB","22-70934"," 7791229","Morella Basin @ O/L",,"TOTAL_TOXIC_BGA",,0.00,"0.0000"
