time,Air Temperature_average_ºC,Apparent Temperature_average_ºC,Delta T_average_ºC,Dew Point_average_ºC,Rainfall_raw_mm,Relative Humidity_average_%RH,Soil Temperature_average_ºC,Solar Radiation_average_W/m^2,Voltage_average_V,Wind Direction_average_º,Wind Speed_average_km/h,Wind Speed_maximum_km/h,Wind Speed_minimum_km/h
2018-01-01 00:00:00,19.9,,,,0.0,56.0,,,,255.790309,12.168,21.78,4.968
2018-01-01 00:15:00,20.2,,,,0.0,54.4,,,,247.979403,12.78,26.784,6.66
2018-01-01 00:30:00,20.5,,,,0.0,53.2,,,,244.983107,14.652,23.436,6.66
2018-01-01 00:45:00,20.6,,,,0.0,54.3,,,,250.628419,13.284,22.608,4.968
2018-01-01 01:00:00,20.6,,,,0.0,55.2,,,,250.362167,11.412,20.088,4.968
2018-01-01 01:15:00,20.9,,,,0.0,54.9,,,,245.136303,8.784,23.436,0.0
2018-01-01 01:30:00,21.2,,,,0.0,54.4,,,,247.543061,11.124,20.916,0.792
2018-01-01 01:45:00,21.2,,,,0.0,57.5,,,,235.479617,15.66,24.3,5.796
2018-01-01 02:00:00,21.7,,,,0.0,55.6,,,,243.550232,11.592,22.608,1.62
2018-01-01 02:15:00,22.0,,,,0.0,54.3,,,,245.275579,13.356,23.436,4.14
2018-01-01 02:30:00,21.9,,,,0.0,55.6,,,,231.911227,12.78,26.784,4.14
2018-01-01 02:45:00,21.5,,,,0.0,57.1,,,,226.35586,13.968,28.476,7.488
2018-01-01 03:00:00,21.6,,,,0.0,57.4,,,,221.382667,16.812,25.128,8.316
2018-01-01 03:15:00,21.9,,,,0.0,57.0,,,,233.365886,18.54,30.96,8.316
2018-01-01 03:30:00,22.0,,,,0.0,54.8,,,,233.365886,15.948,26.784,4.14
2018-01-01 03:45:00,22.4,,,,0.0,54.0,,,,221.653181,17.136,27.612,4.968
2018-01-01 04:00:00,22.6,,,,0.0,53.8,,,,210.004921,20.52,32.652,5.796
2018-01-01 04:15:00,22.7,,,,0.0,55.0,,,,213.881265,21.06,33.48,9.18
