"time","Air Temperature_average_ºC","Apparent Temperature_average_ºC","Delta T_average_ºC","Dew Point_average_ºC","Rainfall_raw_mm","Relative Humidity_average_%RH","Soil Temperature_average_ºC","Solar Radiation_average_W/m^2","Voltage_average_V","Wind Direction_average_º","Wind Speed_average_km/h","Wind Speed_maximum_km/h","Wind Speed_minimum_km/h"
2016-12-31 22:30:00,18.2,15.317716,3.320496,13.129879,0,72.3,23.5,306,12.98,223.058514,19.836,32.652,10.836
2016-12-31 22:45:00,18.9,15.383828,3.975617,12.70339,0,67.3,23.5,404,13.2,223.390991,22.392,31.824,11.7
2016-12-31 23:00:00,18.9,16.018944,4.098562,12.474884,0,66.3,23.5,342,13.2,229.871391,18.756,29.304,9.18
2016-12-31 23:15:00,19.6,16.656707,4.531705,12.433049,0,63.3,23.5,580,13.42,229.522454,19.008,32.652,7.488
2016-12-31 23:30:00,19.4,15.94593,4.639313,12.001633,0,62.3,23.5,321,13.31,234.837851,20.952,35.172,10.008
2016-12-31 23:45:00,19.2,16.013126,4.533168,11.98237,0,63,23.5,394,13.31,225.65478,19.548,29.304,9.18
2017-01-01 00:00:00,19.4,15.833448,4.866184,11.556955,0,60.5,23.5,435,13.42,228.878525,20.844,33.48,10.008
2017-01-01 00:15:00,19.4,16.21193,4.639313,12.001633,0,62.3,23.5,305,13.31,228.270488,19.584,28.476,10.836
2017-01-01 00:30:00,18.7,15.711733,3.972471,12.490052,0,67.2,23.5,330,13.31,228.576334,19.332,28.476,11.7
2017-01-01 00:45:00,19.2,16.643902,4.234285,12.551612,0,65.4,23.7,537,13.42,224.674459,17.208,30.132,9.18
2017-01-01 01:00:00,20,16.691552,4.848955,12.271771,0,61.1,23.8,592,13.53,228.878525,20.628,33.48,11.7
2017-01-01 01:15:00,20.1,17.203909,4.768787,12.539675,0,61.8,23.8,637,13.53,229.272781,18.936,30.132,8.316
2017-01-01 01:30:00,20.4,17.172203,5.017799,12.396847,0,60.1,23.8,745,13.53,220.477546,20.412,31.824,10.836
2017-01-01 01:45:00,20.6,16.860288,5.366269,11.938019,0,57.6,23.8,872,13.42,220.426079,22.32,33.48,11.7
2017-01-01 02:00:00,21.3,17.502716,5.944812,11.583303,0,53.9,23.8,940,13.42,222.072652,22.068,31.824,10.836
2017-01-01 02:15:00,20.9,17.080915,5.693175,11.627297,0,55.4,23.9,978,13.53,219.776052,22.248,38.52,10.008
2017-01-01 02:30:00,21,17.186246,5.880447,11.360913,0,54.1,24.1,811,13.42,220.426079,21.816,34.344,12.528
2017-01-01 02:45:00,21,17.167505,5.934631,11.248772,0,53.7,24.1,884,13.42,217.191008,21.744,37.692,11.7
2017-01-01 03:00:00,21.1,17.423831,5.987962,11.256871,0,53.4,24.2,885,13.53,224.674459,20.952,34.344,10.008
2017-01-01 03:15:00,20.8,16.955871,5.909616,11.063262,0,53.7,24.4,784,13.53,219.834759,21.528,31.824,10.836
2017-01-01 03:30:00,21.2,17.298141,6.08265,11.178866,0,52.8,24.4,970,13.53,224.023462,21.996,34.344,10.008
2017-01-01 03:45:00,20.8,17.560263,5.534493,11.832178,0,56.5,24.7,588,13.42,217.752731,19.584,31.824,8.316
2017-01-01 04:00:00,20.3,17.097107,4.929957,12.454208,0,60.7,24.8,509,13.53,223.372717,20.376,33.48,11.7
2017-01-01 04:15:00,19.9,17.166648,4.660507,12.522711,0,62.5,24.8,427,13.53,217.834691,18.072,28.476,7.488
2017-01-01 04:30:00,19.6,16.498133,4.645343,12.214922,0,62.4,25.1,417,13.53,222.072652,19.476,29.304,10.836
2017-01-01 04:45:00,20.1,16.784513,5.000382,12.089461,0,60,25.1,620,13.53,217.191008,20.376,30.96,10.836
2017-01-01 05:00:00,20.4,16.957648,5.187204,12.063992,0,58.8,25.1,524,13.53,219.776052,20.988,30.96,10.008
2017-01-01 05:15:00,20.3,16.7863,5.189657,11.944365,0,58.7,25.2,559,13.53,225,21.168,30.96,11.7
2017-01-01 05:30:00,20.1,16.433025,5.026192,12.038705,0,59.8,25.4,459,13.53,218.838522,22.104,36,12.528
2017-01-01 05:45:00,19.7,15.750044,4.70537,12.21147,0,62,25.4,446,13.53,219.193273,23.832,36,13.356
2017-01-01 06:00:00,19.7,15.984373,4.629302,12.358125,0,62.6,25.4,456,13.64,214.637541,22.86,33.48,13.356
2017-01-01 06:15:00,19.8,15.560913,4.931595,11.88312,0,60.3,25.4,554,13.53,214.005223,24.804,38.52,14.22
2017-01-01 06:30:00,20,16.514533,5.144914,11.688881,0,58.8,25.4,553,13.53,214.261103,20.628,31.824,10.008
2017-01-01 06:45:00,19.7,15.738605,4.806981,12.013972,0,61.2,25.4,464,13.53,209.320476,23.58,36.864,11.7
2017-01-01 07:00:00,20.2,15.788409,5.205039,11.798823,0,58.5,25.4,729,13.53,206.872539,25.56,36.864,14.22
2017-01-01 07:15:00,20.4,16.363204,5.488795,11.458881,0,56.5,25.4,647,13.53,210.963757,23.112,36,12.528
2017-01-01 07:30:00,19.8,15.807719,4.893263,11.958476,0,60.6,25.4,380,13.53,203.799783,23.652,36,13.356
2017-01-01 07:45:00,18.5,14.577456,3.98136,12.254039,0,67,25.6,104,13.2,210.338452,23.76,36,15.876
2017-01-01 08:00:00,18.2,14.726893,3.741077,12.371522,0,68.8,25.8,142,13.09,209.716698,21.636,33.48,10.008
2017-01-01 08:15:00,18.3,14.556563,3.893239,12.199067,0,67.6,25.8,190,13.2,208.300756,22.752,33.48,11.7
2017-01-01 08:30:00,18.1,14.873889,3.481984,12.734566,0,70.9,25.8,98,13.09,208.701204,20.952,31.824,11.7
2017-01-01 08:45:00,17.8,14.173905,3.6884,12.03326,0,69,25.6,111,12.98,206.25866,21.888,30.96,13.356
2017-01-01 09:00:00,17.9,14.339586,3.767232,11.996126,0,68.4,25.4,177,12.98,208.085821,21.492,32.652,12.528
2017-01-01 09:15:00,17.6,14.295865,3.733364,11.731685,0,68.5,25.4,45,12.98,211.354049,19.764,29.304,9.18
2017-01-01 09:30:00,17.2,13.53399,3.469706,11.785251,0,70.5,25.4,48,12.98,205.237579,21.708,34.344,10.836
2017-01-01 09:45:00,17.1,13.872552,3.427969,11.753743,0,70.8,25.4,25,12.87,210.338452,19.404,30.132,10.836
2017-01-01 10:00:00,17,14.302827,3.26996,11.933816,0,72.1,25.4,7,12.87,206.464001,16.956,25.956,9.18
2017-01-01 10:15:00,16.8,13.874127,3.095398,12.033465,0,73.5,25.4,1,12.87,204.632179,18.288,30.132,9.18
2017-01-01 10:30:00,17,13.844284,3.072088,12.288208,0,73.8,25.3,0,12.87,203.198591,19.872,31.824,10.836
2017-01-01 10:45:00,16.9,13.909517,3.170854,12.005225,0,72.9,25.1,0,12.87,199.730361,18.576,29.304,10.836
2017-01-01 11:00:00,16.8,13.538147,3.558897,11.18585,0,69.5,25.1,0,12.87,203.616365,18.72,28.476,10.008
2017-01-01 11:15:00,16.8,13.232959,3.837491,10.656411,0,67.1,25.1,0,12.87,197.857681,19.512,30.132,10.008
2017-01-01 11:30:00,16.8,13.70336,3.86073,10.611541,0,66.9,25.1,0,12.87,194.975434,17.028,25.956,9.18
2017-01-01 11:45:00,16.7,13.563802,3.760239,10.694886,0,67.7,25,0,12.76,192.206507,17.352,26.784,7.488
2017-01-01 12:00:00,16.6,13.723977,3.648765,10.798066,0,68.6,24.8,0,12.87,197.42225,16.164,24.3,9.18
2017-01-01 12:15:00,16.5,13.236171,3.883404,10.235756,0,66.5,24.8,0,12.87,196.41528,17.352,25.956,10.008
2017-01-01 12:30:00,16.4,13.336575,4.00198,9.891024,0,65.4,24.8,0,12.87,201.590919,15.84,25.128,8.316
2017-01-01 12:45:00,16.4,12.940151,4.036505,9.822336,0,65.1,24.8,0,12.76,200.74285,17.784,31.824,7.488
2017-01-01 13:00:00,16.5,13.100713,3.848823,10.30322,0,66.8,24.5,0,12.87,189.350344,18.144,28.476,10.836
2017-01-01 13:15:00,16.5,13.302592,3.53791,10.898663,0,69.5,24.4,0,12.87,196.41528,17.964,28.476,10.008
2017-01-01 13:30:00,16.5,13.029966,3.64149,10.702483,0,68.6,24.4,0,12.87,181.597476,19.08,32.652,9.18
2017-01-01 13:45:00,16.4,13.073351,3.290028,11.251778,0,71.6,24.4,0,12.76,187.040717,19.152,31.824,10.008
2017-01-01 14:00:00,16.1,13.118683,3.043423,11.379426,0,73.6,24.4,0,12.87,193.097053,17.568,25.956,10.008
2017-01-01 14:15:00,15.9,13.032199,2.748878,11.691929,0,76.1,24.2,0,12.87,177.946449,17.46,29.304,9.18
2017-01-01 14:30:00,15.8,13.121474,2.246381,12.449317,0,80.5,24.1,0,12.76,171.998797,17.676,25.128,10.008
2017-01-01 14:45:00,15.4,13.189568,1.916645,12.580391,0,83.3,24.1,0,12.76,171.998797,15.48,25.128,8.316
2017-01-01 15:00:00,15.3,14.302947,1.71152,12.809024,0,85.1,24.1,0,12.87,173.409391,9.612,15.048,6.66
2017-01-01 15:15:00,15.6,13.558609,2.553817,11.716635,0,77.7,24.1,0,12.87,181.141199,13.248,20.088,7.488
2017-01-01 15:30:00,16.1,13.047175,3.27095,10.963556,0,71.6,24.1,0,12.87,180.684778,17.316,30.96,8.316
2017-01-01 15:45:00,16,13.326319,2.878785,11.568041,0,75,23.9,0,12.76,177.035139,16.272,25.956,9.18
2017-01-01 16:00:00,16.1,13.667607,3.077551,11.317685,0,73.3,23.8,0,12.87,183.419983,14.652,21.78,7.488
2017-01-01 16:15:00,16.1,13.545947,3.373355,10.773065,0,70.7,23.8,0,12.87,194.534455,14.472,21.78,9.18
2017-01-01 16:30:00,16,13.993887,3.378074,10.65585,0,70.6,23.8,0,12.87,201.333526,11.484,18.396,6.66
2017-01-01 16:45:00,16,13.269016,3.49158,10.441563,0,69.6,23.8,0,12.76,182.070031,14.904,26.784,7.488
2017-01-01 17:00:00,16.1,13.430049,3.327839,10.85799,0,71.1,23.8,0,12.76,186.188616,15.192,25.128,7.488
2017-01-01 17:15:00,16.1,13.291023,3.339218,10.836798,0,71,23.8,0,12.76,177.011368,15.876,25.128,8.316
2017-01-01 17:30:00,16.1,14.084947,3.373355,10.773065,0,70.7,23.6,0,12.76,187.096694,11.7,21.78,6.66
2017-01-01 17:45:00,16.1,13.123998,3.350596,10.81558,0,70.9,23.5,0,12.76,181.150363,16.704,31.824,7.488
2017-01-01 18:00:00,16.1,13.224922,3.384734,10.751767,0,70.6,23.5,0,12.76,188.3856,16.092,25.956,10.008
2017-01-01 18:15:00,16,12.996939,3.423473,10.570459,0,70.2,23.5,0,12.76,196.41528,16.488,25.128,9.18
2017-01-01 18:30:00,16,13.083887,3.378074,10.65585,0,70.6,23.5,0,12.76,195.851928,16.164,24.3,8.316
2017-01-01 18:45:00,16,13.625836,3.332679,10.740817,0,71,23.5,0,12.65,192.206507,13.5,22.608,6.66
2017-01-01 19:00:00,16,13.132797,3.298634,10.804265,0,71.3,23.5,0,12.76,194.091709,16.128,28.476,7.488
2017-01-01 19:15:00,16.1,13.011201,3.259573,10.984591,0,71.7,23.5,0,12.76,187.549422,17.532,26.784,10.836
2017-01-01 19:30:00,15.9,12.730902,3.348777,10.602436,0,70.8,23.3,0,12.76,186.643074,17.388,26.784,8.316
2017-01-01 19:45:00,15.8,12.908514,3.522816,10.163703,0,69.2,23.2,2,12.65,186.139682,15.336,23.436,9.18
2017-01-01 20:00:00,15.9,13.486902,3.348777,10.602436,0,70.8,23.2,6,12.76,185.23559,13.5,21.78,7.488
2017-01-01 20:15:00,16,13.787849,3.344027,10.719615,0,70.9,23.2,14,12.76,184.328875,12.636,19.26,7.488
