Name,SL Av Salinity
Weight,1
Pool code,
Type,2
1984,1
1985,1.290809092
1986,1.494339144
1987,1.760922022
1988,1.745212822
1989,2.029738316
1990,1.818719018
1991,1.897437234
1992,1.515249053
1993,1.361971494
1994,1.601627356
1995,1.742386458
1996,1.539062728
1997,1.901561266
1998,2.068577108
1999,2.210552113
2000,2.081507601
2001,2.127634077
2002,2.472097677
2003,2.396920889
2004,2.580159279
2005,2.638380755
2006,3.530172025
2007,3.387910147
2008,3.651443549
2009,3.446718237
2010,2.60051023
2011,2.289299369
2012,1.978905075
2013,1.78494733
2014,1.775885503
2015,1.959962152
2016,1.359901543
2017,1.312887032
2018,1.425381087
2019,1.5739477
2020,1.526208717
