Name,SL Salt Creek Flow
Weight,1
Pool code,
Type,2
1984,1
1985,1
1986,1.0047257
1987,1.00003746
1988,1
1989,0.783385705
1990,0.981144743
1991,1.49503009
1992,1.529079627
1993,0.161330803
1994,0.09132128
1995,1.294519196
1996,1.607970009
1997,0.290616171
1998,0.363688755
1999,0.181940909
2000,0.692670986
2001,1.498381304
2002,0.793691478
2003,1.549378527
2004,1.489912503
2005,1.404050271
2006,0.009032139
2007,0.637754889
2008,0.309030554
2009,2.191887932
2010,4.074043658
2011,3.617065542
2012,2.084293241
2013,6.553454444
2014,3.051461149
2015,0.634651487
2016,3.728852851
2017,4.574431943
2018,3.053826881
2019,0.626725853
2020,0.722941403
