ID,X,Y,Z_CI_006_20150101,Z_master,Z_Coorong_detailed_rma_001
1,301938.608,6064998.608,-3.337,-3.337,-4.788
2,301914.764,6064956.263,-3.692,-3.713,-5.076
3,301889.638,6064911.635,-4.061,-4.082,-5.364
4,302035.243,6064966.598,-3.347,-3.334,-4.969
5,302012.082,6064923.603,-3.687,-3.692,-6.066
6,301959.067,6065034.998,-3.009,-2.992,-4.175
7,301835.257,6064815.048,-4.842,-4.860,-13.234
8,301805.851,6064762.825,-5.260,-5.282,-14.799
9,301863.160,6064864.605,-4.439,-4.461,-8.000
10,301987.673,6064878.293,-4.071,-4.067,-6.515
11,302150.302,6064924.930,-3.331,-3.314,-5.259
12,302127.526,6064881.485,-3.681,-3.681,-9.464
13,302055.179,6065003.770,-3.023,-2.991,-3.897
14,301976.767,6065066.540,-2.743,-2.755,-3.875
15,302012.163,6065129.605,-2.224,-2.246,-3.781
16,301994.466,6065098.075,-2.486,-2.510,-3.789
17,301774.863,6064707.790,-5.701,-5.726,-14.821
18,301934.837,6064780.215,-4.824,-4.828,-12.617
19,301906.264,6064727.180,-5.256,-5.256,-14.512
20,301961.949,6064830.540,-4.428,-4.434,-8.941
21,302103.522,6064835.697,-4.064,-4.056,-13.974
22,302283.401,6064872.617,-3.410,-3.406,-10.089
23,302260.726,6064828.938,-3.713,-3.710,-11.054
24,302169.973,6064962.752,-3.006,-2.970,-4.097
25,302072.495,6065036.242,-2.752,-2.758,-3.563
26,302107.117,6065101.145,-2.227,-2.237,-3.666
27,302089.808,6065068.700,-2.493,-2.510,-3.569
28,302029.858,6065161.132,-1.920,-1.943,-3.803
29,301707.793,6064588.673,-6.647,-6.680,-15.000
30,301671.525,6064524.262,-7.240,-7.285,-15.007
31,301742.208,6064649.792,-6.162,-6.185,-14.975
32,301876.149,6064671.282,-5.714,-5.712,-14.809
33,302051.549,6064736.563,-4.802,-4.806,-14.575
34,302023.436,6064682.942,-5.229,-5.233,-14.705
35,302078.219,6064787.435,-4.424,-4.423,-14.976
36,302236.823,6064782.890,-4.025,-4.027,-10.921
37,302426.752,6064814.010,-3.386,-3.378,-8.180
38,302404.016,6064770.220,-3.672,-3.670,-9.118
39,302303.065,6064910.938,-3.199,-3.144,-7.703
40,302187.138,6064996.085,-2.729,-2.730,-4.037
41,302221.455,6065062.692,-2.187,-2.194,-3.662
42,302204.299,6065029.398,-2.460,-2.477,-4.038
43,302124.420,6065133.580,-1.912,-1.914,-3.758
44,302047.553,6065192.650,-1.524,-1.560,-3.828
45,301633.304,6064456.385,-8.018,-8.048,-15.014
46,301810.956,6064550.280,-6.705,-6.707,-14.973
47,301775.696,6064484.835,-7.330,-7.337,-14.962
48,301844.409,6064612.372,-6.190,-6.188,-14.940
49,301993.801,6064626.418,-5.700,-5.701,-14.963
50,302185.051,6064683.162,-4.733,-4.733,-10.245
51,302157.038,6064629.200,-5.114,-5.127,-10.511
52,302211.621,6064734.345,-4.388,-4.381,-10.860
53,302380.042,6064724.043,-3.976,-3.981,-9.220
54,302569.994,6064755.112,-3.345,-3.336,-8.583
55,302547.202,6064711.218,-3.630,-3.629,-9.519
56,302446.555,6064852.740,-3.151,-3.099,-6.570
57,302320.316,6064945.040,-2.882,-2.875,-5.968
58,302354.802,6065013.192,-2.167,-2.187,-3.220
59,302337.561,6064979.125,-2.539,-2.555,-4.616
60,302238.601,6065095.973,-1.853,-1.851,-3.134
61,302141.721,6065165.997,-1.493,-1.503,-3.848
62,302065.248,6065224.162,-1.103,-1.145,-3.824
63,301550.575,6064309.465,-9.602,-9.598,-15.196
64,301505.839,6064230.013,-10.480,-10.428,-15.131
65,301593.025,6064384.853,-8.845,-8.862,-15.045
66,301738.531,6064415.857,-8.111,-8.122,-14.977
67,301929.629,6064504.025,-6.728,-6.738,-14.747
68,301894.913,6064437.810,-7.361,-7.376,-14.808
69,301962.561,6064566.835,-6.200,-6.199,-14.808
70,302127.501,6064572.303,-5.622,-5.629,-14.201
71,302328.099,6064623.990,-4.699,-4.697,-10.486
72,302299.982,6064569.830,-5.112,-5.119,-10.416
73,302354.761,6064675.345,-4.350,-4.341,-9.936
74,302523.160,6064664.918,-3.932,-3.938,-10.382
75,302713.309,6064696.468,-3.306,-3.294,-9.786
76,302690.458,6064652.463,-3.579,-3.579,-10.293
77,302589.936,6064794.248,-3.105,-3.051,-8.400
78,302464.027,6064887.560,-2.824,-2.819,-5.946
79,302498.959,6064957.150,-2.133,-2.148,-3.875
80,302481.495,6064922.362,-2.490,-2.507,-5.534
81,302372.029,6065047.240,-1.782,-1.789,-2.231
82,302255.746,6065129.235,-1.430,-1.425,-2.886
83,302159.024,6065198.400,-1.058,-1.069,-3.911
