X,Y,distance_from_Goolwa
301437.216,6066428.013,0
301486.514,6066419.666,50
301535.77,6066411.076,100
301584.984,6066402.242,150
301634.153,6066393.164,200
301683.276,6066383.843,250
301732.353,6066374.28,300
301781.382,6066364.473,350
301830.362,6066354.423,400
301879.291,6066344.132,450
301928.169,6066333.598,500
301976.994,6066322.822,550
302025.765,6066311.805,600
302074.481,6066300.547,650
302123.14,6066289.047,700
302171.742,6066277.307,750
302220.286,6066265.327,800
302268.769,6066253.106,850
302317.192,6066240.645,900
302365.552,6066227.945,950
302413.848,6066215.005,1000
302462.08,6066201.827,1050
302510.246,6066188.41,1100
302558.346,6066174.755,1150
302606.377,6066160.861,1200
302654.338,6066146.731,1250
302702.229,6066132.363,1300
302750.049,6066117.758,1350
302797.795,6066102.916,1400
302845.467,6066087.838,1450
302893.065,6066072.525,1500
302940.818,6066057.734,1550
302988.845,6066043.828,1600
303036.789,6066029.636,1650
303084.647,6066015.161,1700
303132.419,6066000.401,1750
303180.103,6065985.358,1800
303227.696,6065970.033,1850
303275.197,6065954.425,1900
303322.605,6065938.535,1950
303369.918,6065922.364,2000
303417.134,6065905.913,2050
303464.251,6065889.182,2100
303511.269,6065872.171,2150
303558.184,6065854.882,2200
303604.996,6065837.314,2250
303651.703,6065819.469,2300
303698.303,6065801.346,2350
303744.795,6065782.948,2400
303791.177,6065764.274,2450
303837.447,6065745.324,2500
303883.604,6065726.101,2550
303929.646,6065706.604,2600
303975.571,6065686.833,2650
304021.535,6065667.159,2700
304067.621,6065647.764,2750
304113.57,6065628.051,2800
304159.382,6065608.02,2850
304205.054,6065587.671,2900
304250.584,6065567.007,2950
304295.97,6065546.027,3000
304341.209,6065524.733,3050
304386.299,6065503.127,3100
304431.238,6065481.208,3150
304476.025,6065458.978,3200
304520.656,6065436.438,3250
304565.13,6065413.59,3300
304609.445,6065390.434,3350
304653.598,6065366.971,3400
304697.423,6065342.905,3450
304740.562,6065317.63,3500
304782.982,6065291.164,3550
304824.649,6065263.529,3600
304865.532,6065234.747,3650
304905.598,6065204.838,3700
304944.818,6065173.827,3750
304983.159,6065141.737,3800
305020.594,6065108.594,3850
305057.092,6065074.422,3900
305092.626,6065039.249,3950
305127.169,6065003.101,4000
305160.692,6064966.006,4050
305193.171,6064927.994,4100
305224.581,6064889.093,4150
305254.897,6064849.334,4200
305284.095,6064808.747,4250
305312.153,6064767.364,4300
305338.455,6064724.846,4350
305366.259,6064683.293,4400
305395.732,6064642.908,4450
305426.825,6064603.756,4500
305459.488,6064565.903,4550
305493.665,6064529.413,4600
305529.3,6064494.344,4650
305566.334,6064460.757,4700
305604.706,6064428.705,4750
305644.351,6064398.244,4800
305685.204,6064369.422,4850
305727.197,6064342.288,4900
305770.26,6064316.887,4950
305814.322,6064293.262,5000
305859.31,6064271.451,5050
305906.228,6064254.179,5100
305953.717,6064238.542,5150
306001.704,6064224.507,5200
306050.135,6064212.089,5250
306098.955,6064201.303,5300
306148.11,6064192.16,5350
306197.544,6064184.672,5400
306247.201,6064178.847,5450
306297.026,6064174.69,5500
306346.962,6064172.207,5550
306396.953,6064171.401,5600
306446.943,6064172.272,5650
306496.875,6064174.82,5700
306546.695,6064179.041,5750
306596.34,6064184.966,5800
306646.075,6064190.074,5850
306695.968,6064193.305,5900
306745.946,6064194.655,5950
306795.941,6064194.122,6000
306845.879,6064191.706,6050
306895.692,6064187.412,6100
306945.307,6064181.245,6150
306994.655,6064173.214,6200
307043.665,6064163.331,6250
307092.269,6064151.609,6300
307140.396,6064138.065,6350
307187.98,6064122.718,6400
307234.951,6064105.59,6450
307281.245,6064086.706,6500
307326.886,6064066.296,6550
307371.542,6064043.815,6600
307415.072,6064019.226,6650
307457.378,6063992.586,6700
307498.363,6063963.955,6750
307537.934,6063933.398,6800
307575.999,6063900.985,6850
307612.472,6063866.791,6900
307647.269,6063830.893,6950
307680.312,6063793.374,7000
307711.524,6063754.318,7050
307740.835,6063713.816,7100
307767.851,6063671.754,7150
307794.239,6063629.285,7200
307820.697,6063586.859,7250
307847.225,6063544.476,7300
307875.617,6063503.332,7350
307904.414,6063462.458,7400
307934.932,6063422.973,7450
307968.846,6063386.233,7500
308002.76,6063349.493,7550
308049.858,6063335.506,7600
308098.598,6063324.353,7650
308147.339,6063313.201,7700
308196.079,6063302.049,7750
308244.819,6063290.896,7800
308289.975,6063272.851,7850
308327.095,6063239.353,7900
308364.215,6063205.854,7950
308401.334,6063172.356,8000
308438.454,6063138.858,8050
308476.367,6063106.35,8100
308517.866,6063078.466,8150
308560.476,6063052.313,8200
308604.127,6063027.936,8250
308648.744,6063005.376,8300
308694.252,6062984.671,8350
308740.573,6062965.856,8400
308787.629,6062948.963,8450
308835.34,6062934.021,8500
308883.626,6062921.055,8550
308932.405,6062910.087,8600
308981.594,6062901.135,8650
309031.109,6062894.215,8700
309080.867,6062889.339,8750
309130.784,6062886.514,8800
309180.774,6062885.746,8850
309230.754,6062887.036,8900
309280.638,6062890.381,8950
309330.343,6062895.777,9000
309379.783,6062903.213,9050
309428.876,6062912.677,9100
309478.608,6062917.334,9150
309528.594,6062917.705,9200
309578.465,6062914.282,9250
309627.932,6062907.084,9300
309676.71,6062896.153,9350
309724.518,6062881.551,9400
309771.08,6062863.364,9450
309816.127,6062841.695,9500
309859.401,6062816.671,9550
309900.65,6062788.434,9600
309940.257,6062757.919,9650
309979.247,6062726.619,9700
310017.624,6062694.571,9750
310055.376,6062661.787,9800
310092.486,6062628.28,9850
310128.943,6062594.062,9900
310164.731,6062559.146,9950
310199.837,6062523.545,10000
310234.25,6062487.272,10050
310267.955,6062450.341,10100
310300.939,6062412.766,10150
310333.192,6062374.56,10200
310364.7,6062335.738,10250
310399.782,6062300.197,10300
310436.467,6062266.226,10350
310473.97,6062233.16,10400
310512.27,6062201.02,10450
310551.344,6062169.824,10500
310591.167,6062139.593,10550
310631.717,6062110.342,10600
310672.969,6062082.091,10650
310714.899,6062054.855,10700
310757.481,6062028.651,10750
310800.69,6062003.495,10800
310844.501,6061979.401,10850
310888.886,6061956.384,10900
310933.821,6061934.458,10950
310979.278,6061913.636,11000
311025.229,6061893.93,11050
311071.648,6061875.352,11100
311118.507,6061857.913,11150
311165.778,6061841.623,11200
311213.432,6061826.493,11250
311261.442,6061812.53,11300
311309.778,6061799.744,11350
311358.413,6061788.142,11400
311407.315,6061777.732,11450
311456.458,6061768.518,11500
311505.811,6061760.507,11550
311555.344,6061753.704,11600
311605.03,6061748.112,11650
311654.836,6061743.735,11700
311704.487,6061744.812,11750
311753.565,6061754.363,11800
311802.349,6061765.315,11850
311850.799,6061777.66,11900
311898.876,6061791.387,11950
311946.54,6061806.487,12000
311993.752,6061822.945,12050
312040.473,6061840.749,12100
312086.664,6061859.884,12150
312132.289,6061880.334,12200
312177.309,6061902.083,12250
312221.688,6061925.112,12300
312265.389,6061949.404,12350
312308.376,6061974.937,12400
312350.614,6062001.69,12450
312392.069,6062029.643,12500
312432.705,6062058.772,12550
312472.491,6062089.053,12600
312511.393,6062120.461,12650
312549.38,6062152.97,12700
312586.419,6062186.554,12750
312622.481,6062221.186,12800
312657.537,6062256.836,12850
312691.557,6062293.476,12900
312726.666,6062329.059,12950
312763.253,6062363.134,13000
312801.049,6062395.863,13050
312840.003,6062427.204,13100
312880.065,6062457.117,13150
312921.183,6062485.561,13200
312963.303,6062512.499,13250
313006.369,6062537.897,13300
313050.325,6062561.721,13350
313095.114,6062583.94,13400
313140.677,6062604.524,13450
313186.955,6062623.448,13500
313233.886,6062640.686,13550
313281.411,6062656.215,13600
313329.465,6062670.016,13650
313377.988,6062682.07,13700
313426.914,6062692.362,13750
313476.181,6062700.877,13800
313525.724,6062707.606,13850
313575.477,6062712.539,13900
313625.376,6062715.669,13950
313675.356,6062716.993,14000
313725.351,6062716.509,14050
313775.296,6062714.217,14100
313825.125,6062710.121,14150
313874.773,6062704.225,14200
313924.176,6062696.538,14250
313973.269,6062687.07,14300
314022.374,6062677.681,14350
314071.357,6062667.657,14400
314120.086,6062656.458,14450
314168.531,6062644.091,14500
314216.665,6062630.563,14550
314264.46,6062615.882,14600
314311.888,6062600.057,14650
314358.922,6062583.095,14700
314405.535,6062565.008,14750
314451.699,6062545.806,14800
314497.389,6062525.5,14850
314542.577,6062504.101,14900
314587.237,6062481.622,14950
314631.345,6062458.076,15000
314674.874,6062433.477,15050
314717.798,6062407.838,15100
314760.094,6062381.175,15150
314801.737,6062353.503,15200
314842.703,6062324.838,15250
314882.968,6062295.196,15300
314922.508,6062264.595,15350
314961.302,6062233.052,15400
315002.329,6062205.154,15450
315047.329,6062183.36,15500
315092.283,6062161.47,15550
315137.19,6062139.484,15600
315182.049,6062117.402,15650
315226.862,6062095.224,15700
315271.626,6062072.95,15750
315316.344,6062050.581,15800
315361.013,6062028.116,15850
315405.634,6062005.556,15900
315450.206,6061982.9,15950
315494.731,6061960.15,16000
315539.206,6061937.304,16050
315583.633,6061914.363,16100
315628.01,6061891.327,16150
315672.338,6061868.196,16200
315716.616,6061844.971,16250
315760.845,6061821.651,16300
315805.024,6061798.237,16350
315849.152,6061774.728,16400
315893.231,6061751.125,16450
315937.258,6061727.428,16500
315981.235,6061703.636,16550
316025.161,6061679.751,16600
316069.036,6061655.772,16650
316112.86,6061631.699,16700
316156.632,6061607.533,16750
316200.352,6061583.273,16800
316244.02,6061558.919,16850
316287.636,6061534.473,16900
316331.2,6061509.933,16950
316374.711,6061485.3,17000
316418.169,6061460.574,17050
316461.575,6061435.755,17100
316504.927,6061410.844,17150
316548.226,6061385.84,17200
316591.471,6061360.743,17250
316634.663,6061335.554,17300
316677.8,6061310.273,17350
316720.884,6061284.9,17400
316763.913,6061259.434,17450
316806.888,6061233.877,17500
316849.808,6061208.228,17550
316892.673,6061182.487,17600
316936.04,6061157.643,17650
316980.466,6061134.702,17700
317025.082,6061112.132,17750
317069.885,6061089.937,17800
317114.872,6061068.116,17850
317160.04,6061046.672,17900
317205.386,6061025.606,17950
317250.906,6061004.92,18000
317296.597,6060984.615,18050
317342.456,6060964.692,18100
317388.48,6060945.153,18150
317434.666,6060926,18200
317481.011,6060907.233,18250
317527.51,6060888.854,18300
317574.146,6060870.827,18350
317619.53,6060849.89,18400
317662.653,6060824.623,18450
317703.104,6060795.268,18500
317740.496,6060762.104,18550
317774.471,6060725.448,18600
317804.707,6060685.651,18650
317830.913,6060643.092,18700
317852.648,6060598.089,18750
317871.561,6060551.809,18800
317888.36,6060504.72,18850
317903.009,6060456.918,18900
317915.479,6060408.503,18950
317925.172,6060359.47,19000
317937.273,6060310.983,19050
317954.727,6060264.157,19100
317977.315,6060219.579,19150
318004.753,6060177.812,19200
318036.696,6060139.38,19250
318072.742,6060104.766,19300
318112.437,6060074.407,19350
318156.769,6060052.432,19400
318205.395,6060040.795,19450
318254.31,6060030.443,19500
318303.481,6060021.383,19550
318352.873,6060013.622,19600
318402.453,6060007.164,19650
318452.186,6060002.014,19700
318502.037,6059998.176,19750
318551.971,6059995.653,19800
318601.597,6059991.75,19850
318649.93,6059978.948,19900
318698.084,6059965.491,19950
318746.052,6059951.382,20000
318793.824,6059936.623,20050
318841.391,6059921.218,20100
318888.745,6059905.168,20150
318935.876,6059888.477,20200
318982.777,6059871.148,20250
319029.438,6059853.184,20300
319075.851,6059834.588,20350
319122.007,6059815.365,20400
319167.898,6059795.516,20450
319213.516,6059775.047,20500
319258.851,6059753.96,20550
319303.897,6059732.26,20600
319348.286,6059709.258,20650
319392.464,6059685.842,20700
319436.62,6059662.384,20750
319480.754,6059638.885,20800
319524.866,6059615.345,20850
319568.955,6059591.762,20900
319613.023,6059568.139,20950
319657.068,6059544.474,21000
319701.09,6059520.767,21050
