year,Nparameters,Nsites,parameters,sites
1998,61,12,Aldrin_ug_L.Alkalinity_as_Calcium_Carbonate_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Atrazine_ug_L.Azinphos-methyl_ug_L.Bicarbonate_mg_L.Cadmium_Total_mg_L.Calcium_mg_L.Calcium_Hardness_as_CaCO3_mg_L.Carbon_Dioxide_Free_mg_L.Carbonate_mg_L.Carbonate_hardness_as_CaCO3_mg_L.Chloride_mg_L.Chlorides_Total_as_NaCl_mg_L.Chlorthal-Dimethyl_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.Copper_Total_mg_L.Diazinon_ug_L.Dieldrin_ug_L.Dissolved_solids_by_calculation_mg_L.Endosulfan_ug_L.Endosulfan_Sulphate_ug_L.Fenitrothion_ug_L.Heptachlor_ug_L.Heptachlor_Epoxide_ug_L.Hexazinone_ug_L.Ion_balance_%.Iron_Total_mg_L.Langelier_Index_-.Lead_Total_mg_L.Lindane_ug_L.Magnesium_mg_L.Magnesium_Hardness_as_CaCO3_mg_L.Malathion_ug_L.Nitrate__Nitrite_as_N_mg_L.Noncarbonate_hardness_as_CaCO3_mg_L.Parathion_ug_L.Parathion_methyl_ug_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Potassium_mg_L.Prometryne_ug_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.Simazine_ug_L.Sodium_mg_L.Sodium_Adsorption_Ratio_Calculation_-.Sodium_Total_cations_ratio_%.Sulphate_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Total_Hardness_as_CaCO3_mg_L.Trifluralin_ug_L.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Noonameena.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well
1999,25,12,Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Cadmium_Total_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.Iron_Total_mg_L.Lead_Total_mg_L.Mercury_Total_mg_L.Nickel_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Turbidity_NTU.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Noonameena.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well
2000,67,12,Aldrin_ug_L.Alkalinity_as_Calcium_Carbonate_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Atrazine_ug_L.Azinphos-methyl_ug_L.Bicarbonate_mg_L.Cadmium_Total_mg_L.Calcium_mg_L.Carbonate_mg_L.Chlordane-a_ug_L.Chlordane-g_ug_L.Chloride_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Chlorothalonil_ug_L.Chlorpyrifos_ug_L.Chlorthal-Dimethyl_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.DDD_ug_L.DDE_ug_L.DDT_ug_L.Diazinon_ug_L.Dieldrin_ug_L.Endosulfan_1_ug_L.Endosulfan_2_ug_L.Endosulfan_Sulphate_ug_L.Endrin_ug_L.Fenitrothion_ug_L.Glyphosate_ug_L.Heptachlor_ug_L.Heptachlor_Epoxide_ug_L.Hexazinone_ug_L.Ion_balance_%.Iron_Total_mg_L.Lead_Total_mg_L.Lindane_ug_L.Magnesium_mg_L.Malathion_ug_L.Mercury_Total_mg_L.Methoxychlor_ug_L.Nickel_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Parathion_ug_L.Parathion_methyl_ug_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Potassium_mg_L.Prometryne_ug_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.Simazine_ug_L.Sodium_mg_L.Sulphate_mg_L.Suspended_Solids_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Trifluralin_ug_L.Turbidity_NTU.Vinclozolin_ug_L.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Noonameena.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well
2001,37,12,Alkalinity_as_Calcium_Carbonate_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Bicarbonate_mg_L.Cadmium_Total_mg_L.Calcium_mg_L.Carbonate_mg_L.Chloride_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.Copper_Total_mg_L.Ion_balance_%.Iron_Total_mg_L.Lead_Total_mg_L.Magnesium_mg_L.Mercury_Total_mg_L.Nickel_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Potassium_mg_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.Sodium_mg_L.Sulphate_mg_L.Suspended_Solids_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Turbidity_NTU.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Noonameena.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well
2002,36,12,Alkalinity_as_Calcium_Carbonate_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Bicarbonate_mg_L.Cadmium_Total_mg_L.Calcium_mg_L.Carbonate_mg_L.Chloride_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.Dissolved_solids_by_calculation_mg_L.Ion_balance_%.Iron_Total_mg_L.Lead_Total_mg_L.Magnesium_mg_L.Mercury_Total_mg_L.Nickel_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Potassium_mg_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.Sodium_mg_L.Sulphate_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Turbidity_NTU.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Noonameena.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well
2003,74,12,AMPA_ug_L.Aldrin_ug_L.Alkalinity_as_Calcium_Carbonate_mg_L.Aluminium_Soluble_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Atrazine_ug_L.Azinphos-methyl_ug_L.Bicarbonate_mg_L.Cadmium_Total_mg_L.Calcium_mg_L.Carbonate_mg_L.Chlordane-a_ug_L.Chlordane-g_ug_L.Chloride_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Chlorothalonil_ug_L.Chlorpyrifos_ug_L.Chlorthal-Dimethyl_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.Copper_Total_mg_L.DDD_ug_L.DDE_ug_L.DDT_ug_L.Diazinon_ug_L.Dieldrin_ug_L.Dissolved_Oxygen_mg_L.Dissolved_solids_by_calculation_mg_L.Endosulfan_1_ug_L.Endosulfan_2_ug_L.Endosulfan_Sulphate_ug_L.Endrin_ug_L.Fenitrothion_ug_L.Glyphosate_ug_L.Heptachlor_ug_L.Heptachlor_Epoxide_ug_L.Hexazinone_ug_L.Ion_balance_%.Iron_Soluble_mg_L.Iron_Total_mg_L.Lead_Total_mg_L.Lindane_ug_L.Magnesium_mg_L.Malathion_ug_L.Mercury_Total_mg_L.Methoxychlor_ug_L.Nickel_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Parathion_ug_L.Parathion_methyl_ug_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Potassium_mg_L.Prometryne_ug_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.Simazine_ug_L.Sodium_mg_L.Sulphate_mg_L.TKN_as_Nitrogen_mg_L.Temperature_celsius.Total_Dissolved_Solids_by_EC_mg_L.Trifluralin_ug_L.Turbidity_NTU.Vinclozolin_ug_L.Zinc_Soluble_mg_L.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well.Noonameena
2004,43,12,Alkalinity_as_Calcium_Carbonate_mg_L.Aluminium_Soluble_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Bicarbonate_mg_L.Cadmium_Total_mg_L.Calcium_mg_L.Calcium_Hardness_as_CaCO3_mg_L.Carbonate_mg_L.Chloride_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.Copper_Total_mg_L.Dissolved_solids_by_calculation_mg_L.Ion_balance_%.Iron_Soluble_mg_L.Iron_Total_mg_L.Lead_Total_mg_L.Magnesium_mg_L.Magnesium_Hardness_as_CaCO3_mg_L.Mercury_Total_mg_L.Nickel_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Potassium_mg_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.Sodium_mg_L.Sulphate_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Total_Hardness_as_CaCO3_mg_L.Turbidity_NTU.Zinc_Soluble_mg_L.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Noonameena.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well
2005,44,12,Alkalinity_as_Calcium_Carbonate_mg_L.Aluminium_Soluble_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Antimony_Total_mg_L.Arsenic_Inorganic_mg_L.Bicarbonate_mg_L.Cadmium_Total_mg_L.Calcium_mg_L.Chloride_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Chromium_Total_mg_L.Conductivity_uS_cm.Copper_Total_mg_L.Dissolved_solids_by_calculation_mg_L.Fluoride_mg_L.Ion_balance_%.Iron_Soluble_mg_L.Iron_Total_mg_L.Langelier_Index_-.Lead_Total_mg_L.Magnesium_mg_L.Mercury_Total_mg_L.Nickel_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Nitrate__Nitrite_as_NO3_mg_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Potassium_mg_L.Selenium_Total_mg_L.Silica_Reactive_mg_L.Silver_Total_mg_L.Sodium_mg_L.Sodium_Adsorption_Ratio_Calculation_-.Sulphate_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Total_Hardness_as_CaCO3_mg_L.Turbidity_NTU.Zinc_Soluble_mg_L.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Policemans Pt.South Salt Creek.Mark Pt.Long Point.Noonameena.Bonneys.McGrath Flat Nth.Parnka Pt.Villa de Yumpa.Stony Well
2006,21,6,Aluminium_Soluble_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Cadmium_Total_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Conductivity_uS_cm.Copper_Total_mg_L.Iron_Soluble_mg_L.Iron_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Silver_Total_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Turbidity_NTU.Zinc_Soluble_mg_L.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Salt Creek.Long Point.Bonneys.Parnka Pt
2007,21,6,Aluminium_Soluble_mg_L.Aluminium_Total_mg_L.Ammonia_as_N_mg_L.Cadmium_Total_mg_L.Chlorophyll_a_ug_L.Chlorophyll_b_ug_L.Conductivity_uS_cm.Copper_Total_mg_L.Iron_Soluble_mg_L.Iron_Total_mg_L.Nitrate__Nitrite_as_N_mg_L.Phosphorus_Filterable_Reactive_as_P_mg_L.Phosphorus_Total_mg_L.Silver_Total_mg_L.TKN_as_Nitrogen_mg_L.Total_Dissolved_Solids_by_EC_mg_L.Turbidity_NTU.Zinc_Soluble_mg_L.Zinc_Total_mg_L.pH_pH_units.TN,Tauwitchere.North Jacks Pt.South Salt Creek.Long Point.Bonneys.Parnka Pt
