Agency,old_NAME,Easting,Northing,Latitude,Longitude,Site_ID,new_NAME
AWQC,1.8km west of Salt Creek,375882,6000470,-36.13253701,139.620593,,18km_West_of_Salt_Creek
ALS,1.8km west of Salt Creek,375882,6000470,-36.13253701,139.620593,,18km_West_of_Salt_Creek
AWQC,3.2km south of Salt Ck,377570,5997290,-36.16141345,139.6388529,,32km_South_of_Salt_Creek
AWQC,3.2km South of Salt Creek land,377570,5997290,-36.16141345,139.6388529,,32km_South_of_Salt_Creek
ALS,3.2km South of Salt Creek land,377570,5997290,-36.16141345,139.6388529,,32km_South_of_Salt_Creek
AWQC,3.2km South of Salt Creek land,378221,5997404,-36.160468,139.6461064,,32km_South_of_Salt_Creek2
AWQC,Bonneys,347969,6037304,-35.79661238,139.3175454,,Bonneys
ALS,Bonneys,347969,6037304,-35.79661238,139.3175454,,Bonneys
AWQC,DS Mundoo,310107,6064867,-35.54166786,138.9052725,,DS_Mundoo
AWQC,DS Tauwitchere,320218,6059692,-35.59018628,139.0155966,,DS_Tauwitchere
ALS,DS Tauwitchere,320218,6059692,-35.59018628,139.0155966,,DS_Tauwitchere
AWQC,Long Point,333756,6048260,-35.69557707,139.1625975,,Long_Point
AWQC,Long Point,333682,6048236,-35.69578087,139.161775,A4261135,Long_Point_2
ALS,Long Point,333682,6048236,-35.69578087,139.161775,A4261135,Long_Point_2
ALS,Mark Point,325762,6054914,-35.63423477,139.0757278,A4260664,Mark_Point
AWQC,Mark Point,325762,6054914,-35.63423477,139.0757278,A4260664,Mark_Point
AWQC,Mark Pt,325762,6054914,-35.63423477,139.0757278,A4260664,Mark_Point
AWQC,McGrath Flat North,354600,6029390,-35.86894266,139.3894598,,McGrath_Flat_North
ALS,McGrath Flat North,354600,6029390,-35.86894266,139.3894598,,McGrath_Flat_North
AWQC,McGrath Flat Nth,354600,6029390,-35.86894266,139.3894598,,McGrath_Flat_North
ALS,Morella Basin at outlet regulator,380179,6001380,-36.1248753,139.6684752,,MorellaBasin_OutletReg
AWQC,Morella Basin at outlet regulator,380179,6001380,-36.1248753,139.6684752,,MorellaBasin_OutletReg
AWQC,Morella Creek at gauge,378811,6001360,-36.12488564,139.6532738,,Morella_Creek_at_Gauge
ALS,Morella Creek at gauge,378811,6001360,-36.12488564,139.6532738,,Morella_Creek_at_Gauge
AWQC,Murray Mouth,308015,6063155,-35.55669075,138.8818036,,Murray_Mouth
ALS,Murray Mouth,308015,6063155,-35.55669075,138.8818036,,Murray_Mouth
AWQC,Noonameena,342849,6041481,-35.75816267,139.2617276,,Noonameena
ALS,Noonameena,342849,6041481,-35.75816267,139.2617276,,Noonameena
AWQC,North Jacks Point,369342,6010970,-36.03704239,139.5496697,,North_Jacks_Point_2
ALS,North Jacks Point,369342,6010970,-36.03704239,139.5496697,,North_Jacks_Point_2
AWQC,North Jacks Point,369342,6010972,-36.03702436,139.54967,,North_Jacks_Point
AWQC,North Jacks Pt,369342,6010972,-36.03702436,139.54967,,North_Jacks_Point
AWQC,Parnka Point,355237,6025730,-35.90202305,139.3958479,A4260633,Parnka_Point
ALS,Parnka Point,355237,6025730,-35.90202305,139.3958479,A4260633,Parnka_Point
AWQC,Parnka Pt,355237,6025730,-35.90202305,139.3958479,A4260633,Parnka_Point
AWQC,Salt Creek Outlet,377245,6000265,-36.13455819,139.6357051,,Salt_Creek_Outlet
ALS,Salt Creek Outlet,377245,6000265,-36.13455819,139.6357051,,Salt_Creek_Outlet
AWQC,Seagull Island,372453,6005680,-36.08513431,139.5833382,,Seagull_Island
ALS,Seagull Island,372453,6005680,-36.08513431,139.5833382,,Seagull_Island
AWQC,Snipe Point,374406,6002900,-36.11044521,139.6045813,,Snipe_Point
ALS,Snipe Point,374406,6002900,-36.11044521,139.6045813,,Snipe_Point
ALS,South Policeman Point,372453,6005680,-36.08513431,139.5833382,,South_Policeman_Point
AWQC,South Policeman Point,372453,6005680,-36.08513431,139.5833382,,South_Policeman_Point
AWQC,South Policemans Pt,372453,6005680,-36.08513431,139.5833382,,South_Policeman_Point
AWQC,South Salt Creek,377463,6000594,-36.13162042,139.6381785,,South_Salt_Creek
AWQC,Stony Well,365104,6017790,-35.97499658,139.5038033,,Stony_Well
ALS,Stony Well,365104,6017790,-35.97499658,139.5038033,,Stony_Well
AWQC,Tauwitchere,320218,6059692,-35.59018628,139.0155966,,Tauwitchere
ALS,Tilley Swamp Drain D/S Northern Outlet,386338,5996389,-36.17060296,139.7361808,,TS_Drain_DS_NorthOutlet
AWQC,Tilley Swamp Drain D/S Northern Outlet,386338,5996389,-36.17060296,139.7361808,,TS_Drain_DS_NorthOutlet
AWQC,Tilley Swamp Drain US Morella,383294,5996921,-36.16544583,139.7024211,,TS_Drain_US_Morella
ALS,Tilley Swamp Drain US Morella,383294,5996921,-36.16544583,139.7024211,,TS_Drain_US_Morella
ALS,Tilley Swamp Watercourse Outlet Channel,386004,5996555,-36.16906747,139.732492,,TS_Watercourse_OutletChan
AWQC,Tilley Swamp Watercourse Outlet Channel,386004,5996555,-36.16906747,139.732492,,TS_Watercourse_OutletChan
AWQC,US Mundoo,310132,6064867,-35.54167265,138.9055481,,US_Mundoo
ALS,US Tauwitchere,320222,6059739,-35.58976348,139.0156512,,US_Tauwitchere
AWQC,US Tauwitchere,320222,6059739,-35.58976348,139.0156512,,US_Tauwitchere
AWQC,Villa de Yumpa,359175,6022894,-35.92815805,139.4389688,,Villa_de_Yumpa_2
AWQC,Villa de Yumpa,359175,6022890,-35.9281941,139.4389681,,Villa_de_Yumpa
ALS,Villa de Yumpa,359175,6022890,-35.9281941,139.4389681,,Villa_de_Yumpa
