Variable,Site
H,A2390568
SAL,A2390568
TEMP,A2390568
TRACE_1,No Site
TRACE_2,No Site
TRACE_3,No Site
TRACE_4,No Site
TRACE_5,No Site
WQ_NCS_SS1,AWQC_Salt_Creek_Outlet
WQ_TRC_RET,No Site
WQ_OXY_OXY,A4261165s
WQ_SIL_RSI,AWQC_Salt_Creek_Outlet
WQ_NIT_AMM,AWQC_Salt_Creek_Outlet
WQ_NIT_NIT,AWQC_Salt_Creek_Outlet
WQ_PHS_FRP,AWQC_Salt_Creek_Outlet
WQ_PHS_FRP_ADS,AWQC_Salt_Creek_Outlet
WQ_OGM_DOC,AWQC_Salt_Creek_Outlet
WQ_OGM_POC,AWQC_Salt_Creek_Outlet
WQ_OGM_DON,AWQC_Salt_Creek_Outlet
WQ_OGM_PON,AWQC_Salt_Creek_Outlet
WQ_OGM_DOP,AWQC_Salt_Creek_Outlet
WQ_OGM_POP,AWQC_Salt_Creek_Outlet
WQ_PHY_GRN,AWQC_Salt_Creek_Outlet
mag_ulva,No Site
mag_ulva_in,No Site
mag_ulva_ip,No Site
WQ_DIAG_TOT_TN,AWQC_Salt_Creek_Outlet
WQ_DIAG_TOT_TP,AWQC_Salt_Creek_Outlet
WQ_DIAG_TOT_TOC,AWQC_Salt_Creek_Outlet
