ISOTime,FLOW,SAL,TEMP,TRACE_1,AGE,SS1,OXY,RSI,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN
01/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0232,380.5556,380.7697,42.3005,42.3005,0.9907,1.2384,50.6633
02/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0232,380.5556,380.7697,42.3005,42.3005,0.9907,1.2384,50.6633
03/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0232,380.5556,380.7697,42.3005,42.3005,0.9907,1.2384,50.6633
04/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0232,380.5556,380.7697,42.3005,42.3005,0.9907,1.2384,50.6633
05/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,380.5556,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
06/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,380.5556,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
07/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,380.5556,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
08/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,380.5556,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
09/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,380.5556,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
10/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,380.5556,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
11/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,380.5556,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
12/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,417.2434,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
13/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,418.3666,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
14/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,419.4898,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
15/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,420.6129,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
16/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,421.7361,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
17/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,422.8593,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
18/01/1990 00:00:00,0.2616,1.7566,15.9226,0.0000,0.0000,15.7473,260.5845,70.1068,1.6029,2.1282,0.2570,0.0278,423.9824,380.5556,40.8807,40.8807,1.1747,1.4684,50.6633
